# Argument List:
# Name = hot10
# peak file = hot10.bed
# gene pos to peak = up,down
# distance = 2000 bp
# genome = ../../../bin/peak2gene/hg19.refGene
# Output symbol as gene name = True
#chrom	gTSS	gTTS	gene	NA	strand	pName	TSS2pCenter
chr1	10003485	10045555	NMNAT1	0	+	14	-25
chr1	9989777	10002826	LZIC	0	-	14	684
chr1	100435539	100489006	SLC35A3	0	+	12	39
chr1	100598705	100616053	CCDC76	0	+	15	45
chr1	100549103	100598511	SASS6	0	-	15	149
chr1	10093040	10241296	UBE4B	0	+	13|13	-81|-81
chr1	101337940	101360418	EXTL2	0	-	13|13	601|601
chr1	101361631	101447311	SLC30A7	0	+	13|13	612|614
chr1	10459084	10480200	PGD	0	+	11	10
chr1	10490158	10512059	APITD1	0	+	11|11|11|11	-477|-477|-477|168
chr1	10520604	10532613	DFFA	0	-	15|15	-3|-3
chr1	109234931	109244420	PRPF38B	0	+	11	-251
chr1	109289284	109352139	STXBP3	0	+	16	-291
chr1	109633402	109639553	TMEM167B	0	+	13	-152
chr1	109642814	109643234	SCARNA2	0	+	10	-30
chr1	109944477	109969037	PSMA5	0	-	10	46
chr1	110026560	110035418	ATXN7L2	0	+	10	-184
chr1	110527307	110566363	AHCYL1	0	+	11	-25
chr1	11072678	11085548	TARDBP	0	+	11	-31
chr1	110881944	110889303	RBM15	0	+	23	528
chr1	110828998	110881793	LOC440600	0	-	23	-377
chr1	110943878	110950546	HBXIP	0	-	14	-174
chr1	111489812	111506566	C1orf103	0	-	13|13	-73|-73
chr1	111991742	112004523	ATP5F1	0	+	11	-252
chr1	111982512	111991830	WDR77	0	-	11	164
chr1	112298189	112310198	DDX20	0	+	13	-161
chr1	112264685	112298419	C1orf183	0	-	13	-69
chr1	113162074	113214241	CAPZA1	0	+	15	-255
chr1	113066141	113162040	ST7L	0	-	15|15|15|15	289|289|289|289
chr1	11166588	11322608	MTOR	0	-	13	121
chr1	11333254	11348490	UBIAD1	0	+	10	28
chr1	113454471	113498685	SLC16A1	0	-	13|13	85|-205
chr1	113615830	113667342	LRIG2	0	+	10	18
chr1	114304454	114355070	RSBN1	0	-	14	-11
chr1	114437676	114447741	AP4B1	0	-	15	-19
chr1	114447914	114456707	DCLRE1B	0	+	15	192
chr1	115247078	115259515	NRAS	0	-	11	-75
chr1	115259537	115300624	CSDE1	0	-	14|14|14	-167|-214|-167
chr1	1152288	1167447	SDF4	0	-	13|13	107|107
chr1	1167628	1170418	B3GALT6	0	+	13	74
chr1	117910084	118068320	MAN1A2	0	+	10	344
chr1	11796141	11810827	AGTRAP	0	+	11|11|11|11|11	-525|-525|-525|-525|-525
chr1	11866206	11903200	CLCN6	0	+	15|15|15|15	161|161|161|161
chr1	11845786	11866160	MTHFR	0	-	15	-115
chr1	12040237	12073571	MFN2	0	+	11|11	-35|-35
chr1	1189293	1209234	UBE2J2	0	-	10|10|10|10	42|42|42|42
chr1	1227763	1243269	ACAP3	0	-	10	367
chr1	1243993	1247056	PUSL1	0	+	10	357
chr1	12627939	12677820	DHRS3	0	-	20	747
chr1	1309109	1310580	AURKAIP1	0	-	18|18|18	149|167|-89
chr1	1337276	1342693	MRPL20	0	-	11	-323
chr1	1447522	1470067	ATAD3A	0	+	12|12|12	201|588|201
chr1	144890590	144932032	PDE4DIP	0	-	15	370
chr1	145096406	145116922	SEC22B	0	+	14	10
chr1	145507637	145511444	RBM8A	0	+	15	31
chr1	145516559	145523731	PEX11B	0	+	11|11	262|-133
chr1	145509819	145516076	GNRHR2	0	-	11	221
chr1	145592605	145610884	POLR3C	0	-	14	80
chr1	145611035	145688774	RNF115	0	+	14	71
chr1	146714290	146767441	CHD1L	0	+	15	-149
chr1	149858524	149858960	HIST2H2AC	0	+	39	-31
chr1	149856011	149858232	HIST2H2BE	0	-	39	323
chr1	149859019	149859466	HIST2H2AB	0	-	39	-911
chr1	149871154	149872347	BOLA1	0	+	12	21
chr1	149895210	149899702	SF3B4	0	-	13	111
chr1	149912232	149982686	OTUD7B	0	-	17	34
chr1	150039341	150117504	VPS45	0	+	19	-223
chr1	150190717	150208504	ANP32E	0	-	15|15|15	324|1802|324
chr1	150237798	150241532	APH1A	0	-	13|13	-88|-88
chr1	150255228	150259502	C1orf51	0	+	12	889
chr1	150266268	150280818	MRPS21	0	+	12|12	-83|-83
chr1	150293927	150325703	PRPF3	0	+	12	-108
chr1	150459919	150479747	TARS2	0	+	20	69
chr1	150547036	150552136	MCL1	0	-	15|15	-412|-412
chr1	150594603	150602098	ENSA	0	-	10|10|10|10|10|10|10|10	-68|-68|-68|-68|421|421|421|-68
chr1	150782185	150849186	ARNT	0	-	11|11	203|203
chr1	150898814	150937220	SETDB1	0	+	22|22|22	-35|-35|-25
chr1	151043079	151091007	GABPB2	0	+	28	-276
chr1	151132224	151138424	LYSMD1	0	-	23|23	198|252
chr1	151138516	151141612	SCNM1	0	+	23	-106
chr1	151148933	151162640	VPS72	0	-	15	113
chr1	151171020	151222006	PIP5K1A	0	+	12|12|12|12	25|25|25|25
chr1	151227196	151239952	PSMD4	0	+	11	-64
chr1	151254790	151264380	ZNF687	0	+	24	370
