# Argument List:
# Name = hot10
# peak file = hot10.bed
# gene pos to peak = up,down
# distance = 2000 bp
# genome = ../../../bin/peak2gene/hg19.refGene
# Output symbol as gene name = True
#chrom	pStart	pEnd	pName	pScore	NA	gene	strand	TSS2pCenter
chr1	10003148	10003872	14	0	0	NMNAT1|LZIC	+|-	-25|684
chr1	100435201	100435800	12	0	0	SLC35A3	+	39
chr1	100598286	100599034	15	0	0	CCDC76|SASS6	+|-	45|149
chr1	10092401	10093841	13	0	0	UBE4B|UBE4B	+|+	-81|-81
chr1	101360136	101361903	13	0	0	EXTL2|SLC30A7|EXTL2|SLC30A7	-|+|-|+	601|612|601|614
chr1	1014657	1015958	12	0	0			
chr1	10447512	10449088	22	0	0			
chr1	10458512	10459636	11	0	0	PGD	+	10
chr1	10490177	10491094	11	0	0	APITD1|APITD1|APITD1|APITD1	+|+|+|+	-477|-477|-477|168
chr1	10532262	10532958	15	0	0	DFFA|DFFA	-|-	-3|-3
chr1	109234633	109235731	11	0	0	PRPF38B	+	-251
chr1	109288842	109290309	16	0	0	STXBP3	+	-291
chr1	109633013	109634095	13	0	0	TMEM167B	+	-152
chr1	109642403	109643285	10	0	0	SCARNA2	+	-30
chr1	109968471	109969696	10	0	0	PSMA5	-	46
chr1	110026370	110027119	10	0	0	ATXN7L2	+	-184
chr1	110334587	110335336	10	0	0			
chr1	110502443	110503497	19	0	0			
chr1	110526947	110527718	11	0	0	AHCYL1	+	-25
chr1	11072281	11073138	11	0	0	TARDBP	+	-31
chr1	110880242	110882590	23	0	0	RBM15|LOC440600	+|-	528|-377
chr1	110950008	110950737	14	0	0	HBXIP	-	-174
chr1	111505663	111507324	13	0	0	C1orf103|C1orf103	-|-	-73|-73
chr1	111991577	111992412	11	0	0	ATP5F1|WDR77	+|-	-252|164
chr1	112297868	112298832	13	0	0	DDX20|C1orf183	+|-	-161|-69
chr1	113161446	113163212	15	0	0	CAPZA1|ST7L|ST7L|ST7L|ST7L	+|-|-|-|-	-255|289|289|289|289
chr1	11322284	11323175	13	0	0	MTOR	-	121
chr1	11332648	11333804	10	0	0	UBIAD1	+	28
chr1	113498275	113499266	13	0	0	SLC16A1|SLC16A1	-|-	85|-205
chr1	113615129	113616496	10	0	0	LRIG2	+	18
chr1	114354610	114355509	14	0	0	RSBN1	-	-11
chr1	114447190	114448254	15	0	0	AP4B1|DCLRE1B	-|+	-19|192
chr1	115259028	115259853	11	0	0	NRAS	-	-75
chr1	115299900	115301014	14	0	0	CSDE1|CSDE1|CSDE1	-|-|-	-167|-214|-167
chr1	115711220	115711815	13	0	0			
chr1	115722033	115722654	10	0	0			
chr1	1167058	1168051	13	0	0	SDF4|SDF4|B3GALT6	-|-|+	107|107|74
chr1	117909164	117910317	10	0	0	MAN1A2	+	344
chr1	11795847	11797486	11	0	0	AGTRAP|AGTRAP|AGTRAP|AGTRAP|AGTRAP	+|+|+|+|+	-525|-525|-525|-525|-525
chr1	11865467	11866623	15	0	0	CLCN6|MTHFR|CLCN6|CLCN6|CLCN6	+|-|+|+|+	161|-115|161|161|161
chr1	11967678	11968871	17	0	0			
chr1	12039761	12040783	11	0	0	MFN2|MFN2	+|+	-35|-35
chr1	1208981	1209571	10	0	0	UBE2J2|UBE2J2|UBE2J2|UBE2J2	-|-|-|-	42|42|42|42
chr1	1242984	1244288	10	0	0	ACAP3|PUSL1	-|+	367|357
chr1	12493371	12494693	10	0	0			
chr1	12538052	12538735	13	0	0			
chr1	12588270	12589035	14	0	0			
chr1	12609439	12610385	13	0	0			
chr1	12655720	12657421	22	0	0			
chr1	12664277	12664826	13	0	0			
chr1	12677705	12679430	20	0	0	DHRS3	-	747
chr1	1310292	1311167	18	0	0	AURKAIP1|AURKAIP1|AURKAIP1	-|-|-	149|167|-89
chr1	1341754	1342986	11	0	0	MRPL20	-	-323
chr1	1446932	1447711	12	0	0	ATAD3A|ATAD3A|ATAD3A	+|+|+	201|588|201
chr1	144931875	144932930	15	0	0	PDE4DIP	-	370
chr1	145096059	145096734	14	0	0	SEC22B	+	10
chr1	145382068	145383183	17	0	0			
chr1	145395264	145396128	13	0	0			
chr1	145397528	145398209	13	0	0			
chr1	145398955	145400074	21	0	0			
chr1	145507104	145508109	15	0	0	RBM8A	+	31
chr1	145515927	145516667	11	0	0	PEX11B|PEX11B|GNRHR2	+|+|-	262|-133|221
chr1	145542468	145543258	22	0	0			
chr1	145610444	145611484	14	0	0	POLR3C|RNF115	-|+	80|71
chr1	145652161	145652818	12	0	0			
