# Argument List:
# Name = hot5
# peak file = hot5.bed
# gene pos to peak = up,down
# distance = 2000 bp
# genome = ../../../bin/peak2gene/hg19.refGene
# Output symbol as gene name = True
#chrom	gTSS	gTTS	gene	NA	strand	pName	TSS2pCenter
chr1	10003485	10045555	NMNAT1	0	+	14	-25
chr1	9989777	10002826	LZIC	0	-	14	684
chr1	100316044	100389579	AGL	0	+	7|7|7|7|7	378|-27|378|378|864
chr1	100435539	100489006	SLC35A3	0	+	12	39
chr1	100503788	100548927	HIAT1	0	+	6	152
chr1	100598705	100616053	CCDC76	0	+	15	45
chr1	100549103	100598511	SASS6	0	-	15	149
chr1	100652478	100715409	DBT	0	-	9	32
chr1	100818022	100985832	CDC14A	0	+	5|5|5	1003|1003|1003
chr1	10093040	10241296	UBE4B	0	+	13|13	-81|-81
chr1	101337940	101360418	EXTL2	0	-	13|13	601|601
chr1	101361631	101447311	SLC30A7	0	+	13|13	612|614
chr1	10270763	10441659	KIF1B	0	+	6|6	208|208
chr1	104068577	104097857	RNPC3	0	+	6	93
chr1	10459084	10480200	PGD	0	+	11	10
chr1	10490158	10512059	APITD1	0	+	11|11|11|11	-477|-477|-477|168
chr1	1017197	1051736	C1orf159	0	-	7	-103
chr1	10520604	10532613	DFFA	0	-	15|15	-3|-3
chr1	10535002	10690813	PEX14	0	+	9	5
chr1	109102970	109181948	FAM102B	0	+	6	317
chr1	109234931	109244420	PRPF38B	0	+	11	-251
chr1	109289284	109352139	STXBP3	0	+	16	-291
chr1	109419602	109473043	GPSM2	0	+	6	-47
chr1	109606997	109618624	TAF13	0	-	6	59
chr1	109633402	109639553	TMEM167B	0	+	13	-152
chr1	109642814	109643234	SCARNA2	0	+	10	-30
chr1	109756514	109780803	SARS	0	+	5|5	-48|-48
chr1	109822175	109825790	PSRC1	0	-	5|5|5	258|258|258
chr1	109944477	109969037	PSMA5	0	-	10	46
chr1	110026560	110035418	ATXN7L2	0	+	10	-184
chr1	110036700	110043062	CYB561D1	0	+	9|9|9|9|9	-47|-90|-47|-47|-47
chr1	110091185	110138452	GNAI3	0	+	9	-11
chr1	110163275	110174677	AMPD2	0	+	5|5	885|68
chr1	110453232	110472354	CSF1	0	+	6|6|6|6	-90|-90|-90|-90
chr1	110527307	110566363	AHCYL1	0	+	11	-25
chr1	110577240	110597255	FAM40A	0	+	9	44
chr1	11072678	11085548	TARDBP	0	+	11	-31
chr1	110881944	110889303	RBM15	0	+	23	528
chr1	110828998	110881793	LOC440600	0	-	23	-377
chr1	110943878	110950546	HBXIP	0	-	14	-174
chr1	11114648	11120091	SRM	0	-	9	175
chr1	111489812	111506566	C1orf103	0	-	13|13	-73|-73
chr1	11126677	11159938	EXOSC10	0	-	5|5	-46|-46
chr1	111991742	112004523	ATP5F1	0	+	11	-252
chr1	111982512	111991830	WDR77	0	-	11	164
chr1	112264685	112282046	C1orf183	0	-	9|13	93|-69
chr1	112298189	112310198	DDX20	0	+	13	-161
chr1	112938799	113003785	CTTNBP2NL	0	+	8	61
chr1	113162074	113214241	CAPZA1	0	+	15	-255
chr1	113066141	113162040	ST7L	0	-	15|15|15|15	289|289|289|289
chr1	11166588	11322608	MTOR	0	-	13	121
chr1	113243748	113249678	RHOC	0	-	5|9|9|9	-1739|55|402|55
chr1	11333254	11348490	UBIAD1	0	+	10	28
chr1	113454471	113498685	SLC16A1	0	-	13|13	85|-205
chr1	113615830	113667342	LRIG2	0	+	10	18
chr1	113933474	114228535	MAGI3	0	+	5|5	576|576
chr1	114239823	114301777	PHTF1	0	-	5	442
chr1	114304454	114355070	RSBN1	0	-	14	-11
chr1	114437676	114447741	AP4B1	0	-	15	-19
chr1	114447914	114456707	DCLRE1B	0	+	15	192
chr1	114471995	114514693	HIPK1	0	+	7|7	-50|-50
chr1	114935400	115053781	TRIM33	0	-	6|6	330|330
chr1	115110182	115124265	BCAS2	0	-	9	44
chr1	115247078	115259515	NRAS	0	-	11	-75
chr1	115259537	115300624	CSDE1	0	-	14|14|14	-167|-214|-167
chr1	115312106	115323308	SIKE1	0	-	5|5	-46|-46
chr1	11539294	11597639	PTCHD2	0	+	5	221
chr1	116654375	116677861	C1orf161	0	+	5	1992
chr1	1152288	1167447	SDF4	0	-	13|13	107|107
chr1	1167628	1170418	B3GALT6	0	+	13	74
chr1	116915794	116947394	ATP1A1	0	+	5|5	28|722
chr1	116947335	116961197	ATP1A1OS	0	-	6|6|6|6|6	-3|-11|13|-3|-50
chr1	117602948	117645489	TTF2	0	+	7	223
chr1	117653676	117664411	TRIM45	0	-	6|6	174|174
chr1	117910084	118068320	MAN1A2	0	+	10	344
chr1	11796141	11810827	AGTRAP	0	+	11|11|11|11|11	-525|-525|-525|-525|-525
chr1	118419845	118472302	GDAP2	0	-	7|7	37|37
chr1	118472371	118503049	WDR3	0	+	7	32
chr1	11866206	11903200	CLCN6	0	+	15|15|15|15	161|161|161|161
chr1	11845786	11866160	MTHFR	0	-	15	-115
chr1	119573840	119683295	WARS2	0	-	6|6	-109|-109
chr1	120161999	120190390	ZNF697	0	-	5	570
chr1	12040237	12073571	MFN2	0	+	11|11	-35|-35
