# Argument List:
# Name = hot0
# peak file = hot0.bed
# gene pos to peak = up,down
# distance = 2000 bp
# genome = ../../../bin/peak2gene/hg19.refGene
# Output symbol as gene name = True
#chrom	gTSS	gTTS	gene	NA	strand	pName	TSS2pCenter
chr1	10003485	10045555	NMNAT1	0	+	2|14	906|-25
chr1	9989777	10002826	LZIC	0	-	2|14	-247|684
chr1	100174258	100231349	FRRS1	0	-	2	821
chr1	100316044	100389579	AGL	0	+	7|7|7|7|7	378|-27|378|378|864
chr1	100435539	100489006	SLC35A3	0	+	12	39
chr1	100503788	100548927	HIAT1	0	+	6	152
chr1	100598705	100616053	CCDC76	0	+	15	45
chr1	100549103	100598511	SASS6	0	-	15	149
chr1	100652478	100715409	DBT	0	-	9	32
chr1	100731713	100758323	RTCD1	0	+	4|4	-27|-27
chr1	100818022	100985832	CDC14A	0	+	5|5|5|2|2|2	1003|1003|1003|-67|-67|-67
chr1	10093040	10241296	UBE4B	0	+	13|13|2|2	-81|-81|-1610|-1610
chr1	101337940	101360418	EXTL2	0	-	13|13	601|601
chr1	101361631	101447311	SLC30A7	0	+	13|13	612|614
chr1	101455179	101491362	DPH5	0	-	4|4|4	178|178|178
chr1	102268126	102462790	OLFM3	0	-	1	-148
chr1	10270763	10441659	KIF1B	0	+	6|6|4|4	208|208|-864|-864
chr1	103342023	103574052	COL11A1	0	-	2|2|2|2	-1972|-1972|-1972|-1972
chr1	104068577	104097857	RNPC3	0	+	6	93
chr1	10459084	10480200	PGD	0	+	11|1	10|-1174
chr1	10490158	10512059	APITD1	0	+	2|2|2|11|11|11|11	1866|1866|1866|-477|-477|-477|168
chr1	1017197	1051736	C1orf159	0	-	7	-103
chr1	10520604	10532613	DFFA	0	-	15|15	-3|-3
chr1	10535002	10690813	PEX14	0	+	9	5
chr1	107599266	107601907	PRMT6	0	+	1	95
chr1	108113781	108231126	VAV3	0	-	1	89
chr1	10696667	10856707	CASZ1	0	-	2|2	79|79
chr1	108677448	108735363	SLC25A24	0	-	4|4|2	-1860|-96|584
chr1	109102970	109181948	FAM102B	0	+	6|3|2	317|-507|-1596
chr1	109190911	109203744	C1orf59	0	-	4|4	51|-353
chr1	109234931	109244420	PRPF38B	0	+	11	-251
chr1	109289284	109352139	STXBP3	0	+	16	-291
chr1	109419602	109473043	GPSM2	0	+	6	-47
