# Argument List:
# Name = hot35
# peak file = hot35.bed
# gene pos to peak = up,down
# distance = 2000 bp
# genome = ../../../bin/peak2gene/hg19.refGene
# Output symbol as gene name = True
#chrom	gTSS	gTTS	gene	NA	strand	pName	TSS2pCenter
chr1	149858524	149858960	HIST2H2AC	0	+	39	-31
chr1	149856011	149858232	HIST2H2BE	0	-	39	323
chr1	149859019	149859466	HIST2H2AB	0	-	39	-911
chr1	154934774	154946959	SHC1	0	-	41|41	-405|-405
chr1	154947117	154951724	CKS1B	0	+	41|41	563|563
chr1	154948168	154948259	MIR4258	0	+	41	1614
chr1	183441505	183523327	SMG7	0	+	35|35|35|35	503|503|503|503
chr10	74033676	74035797	DDIT4	0	+	42	-24
chr11	58294345	58345639	LPXN	0	-	38	716
chr11	58346586	58388513	ZFP91	0	+	38	231
chr11	58346586	58393203	ZFP91-CNTF	0	+	38	231
chr11	65190268	65194001	NEAT1	0	+	36	-177
chr12	110890291	110906526	GPN3	0	-	38|38|38	47|484|484
chr12	110906231	110928191	C12orf24	0	+	38	-342
chr12	14923654	14924065	HIST4H4	0	-	41	-703
chr12	54674487	54679028	HNRNPA1	0	+	38|38	362|362
chr12	54624731	54673915	CBX5	0	-	38	210
chr12	54674532	54678663	HNRPA1L-2	0	+	38	407
chr12	6643656	6647536	GAPDH	0	+	48	446
chr15	60639351	60690185	ANXA2	0	-	42|42|42|42	-111|-111|-111|-111
chr15	63796809	63883659	USP3	0	+	55	494
chr15	85525204	85682370	PDE8A	0	+	35|35	754|754
chr17	1619816	1641893	WDR81	0	+	36|36	-507|-507
chr17	1614798	1619566	C17orf91	0	-	36|36|36|36	757|757|757|757
chr17	19641299	19651746	ALDH3A1	0	-	37	66
chr17	62181	202633	RPH3AL	0	-	35|35|35|35	-152|-152|-152|-152
chr17	36909001	36920477	PSMB3	0	+	38	421
chr17	39845126	39847897	EIF1	0	+	37	-195
chr17	43224683	43229467	HEXIM1	0	+	56	-855
chr17	44107282	44270166	KIAA1267	0	-	48|48	548|442
chr17	44270938	44274080	LOC644246	0	+	48	224
chr17	46125685	46138906	NFE2L1	0	+	42	-63
chr17	47074773	47133505	IGF2BP1	0	+	37|37	529|529
chr17	4848948	4851825	PFN1	0	-	41	558
chr17	57918626	57918697	MIR21	0	+	55	1652
chr17	7387697	7417935	POLR2A	0	+	37	134
chr17	7362685	7387568	ZBTB4	0	-	37	-5
chr17	73870246	73874656	TRIM47	0	-	38	-1006
chr17	7999218	8022234	ALOXE3	0	-	49|49	855|1229
chr19	36208920	36229778	MLL4	0	+	40	658
chr19	39327028	39342979	HNRNPL	0	-	66|66	-1577|785
chr19	39432041	39466380	FBXO17	0	-	35	251
chr19	41197433	41222790	ADCK4	0	-	61	235
chr19	41223007	41246763	ITPKC	0	+	61	-18
chr19	41256758	41271296	SNRPA	0	+	36	-226
chr19	41246760	41255828	C19orf54	0	-	36	1156
chr19	45882892	45909607	PPP1R13L	0	-	39|39	-421|874
chr19	45909466	45914024	CD3EAP	0	+	39	280
chr19	47278141	47290545	SLC1A5	0	-	38|38	118|-1179
chr19	47730198	47730278	MIR3190	0	+	39	-600
chr19	47730200	47730276	MIR3191	0	-	39	522
chr19	50372298	50380644	AKT1S1	0	-	47|47|47	14|46|80
chr19	50380681	50392006	TBC1D17	0	+	47|47	23|23
chr19	56088891	56092211	ZNF579	0	-	36	764
chr2	27274490	27282401	AGBL5	0	+	43|43	463|463
chr2	55199328	55277734	RTN4	0	-	51|51|51|51	-602|-602|-602|806
chr2	70314584	70316332	PCBP1	0	+	35	527
chr2	70189395	70314147	LOC400960	0	-	35	-90
chr20	10415950	10604025	C20orf94	0	+	41	873
chr20	10385832	10414866	MKKS	0	-	41	211
chr3	5021096	5026863	BHLHE40	0	+	38	-61
chr6	35541361	35696360	FKBP5	0	-	37	-1530
chr8	126442562	126450642	TRIB1	0	+	35	-421
