# Argument List:
# Name = hot20
# peak file = hot20.bed
# gene pos to peak = up,down
# distance = 2000 bp
# genome = ../../../bin/peak2gene/hg19.refGene
# Output symbol as gene name = True
#chrom	pStart	pEnd	pName	pScore	NA	gene	strand	TSS2pCenter
chr1	10447512	10449088	22	0	0			
chr1	110880242	110882590	23	0	0	RBM15|LOC440600	+|-	528|-377
chr1	12655720	12657421	22	0	0			
chr1	12677705	12679430	20	0	0	DHRS3	-	747
chr1	145398955	145400074	21	0	0			
chr1	145542468	145543258	22	0	0			
chr1	147736935	147737735	20	0	0			
chr1	149856666	149860445	39	0	0	HIST2H2AC|HIST2H2BE|HIST2H2AB	+|-|-	-31|323|-911
chr1	150459489	150460212	20	0	0	TARS2	+	69
chr1	150533157	150535236	26	0	0			
chr1	150898431	150899267	22	0	0	SETDB1|SETDB1|SETDB1	+|+|+	-35|-35|-25
chr1	151042730	151043981	28	0	0	GABPB2	+	-276
chr1	151138186	151139059	23	0	0	LYSMD1|SCNM1|LYSMD1	-|+|-	198|-106|252
chr1	151253412	151255429	24	0	0	ZNF687	+	370
chr1	151371657	151372397	20	0	0	PSMB4	+	13
chr1	151519420	151520239	20	0	0	MIR554	+	-1558
chr1	151881797	151882611	21	0	0	THEM4	-	91
chr1	151960799	151963724	29	0	0			
chr1	151964704	151965558	22	0	0	S100A10	-	-1583
chr1	152020084	152021480	30	0	0			
chr1	153643171	153644095	25	0	0	ILF2	-	154
chr1	154530945	154532447	22	0	0	UBE2Q1	-	576
chr1	154908757	154910409	22	0	0	PMVK	-	99
chr1	154944814	154948294	41	0	0	SHC1|CKS1B|SHC1|CKS1B|MIR4258	-|+|-|+|+	-405|563|-405|563|1614
chr1	154972099	154974924	33	0	0	ZBTB7B	+	1600
chr1	155162945	155164847	23	0	0	MUC1|MUC1|MUC1|MUC1|MUC1|MUC1|MUC1|MIR92B	-|-|-|-|-|-|-|+	1196|1196|1196|1196|1196|1196|1196|1071
chr1	155214041	155214990	22	0	0	GBA|GBA|GBA	-|-|-	-138|-138|-138
chr1	155292647	155294494	20	0	0	C1orf104|RUSC1|RUSC1	-|+|+	-368|157|647
chr1	156083755	156085359	22	0	0	LMNA|LMNA|LMNA	+|+|+	-97|-97|-97
chr1	156095645	156097350	20	0	0			
chr1	156163187	156164592	23	0	0	SLC25A44	+	-160
chr1	156426130	156427913	23	0	0			
chr1	156629689	156630639	25	0	0			
chr1	156710663	156711449	21	0	0	MRPL24|MRPL24	-|-	133|133
chr1	159894184	159895970	22	0	0	TAGLN2	-	-207
chr1	16125381	16127879	37	0	0			
chr1	161368832	161370075	22	0	0			
chr1	161735676	161736571	24	0	0	ATF6	+	-40
chr1	163291280	163292088	23	0	0	NUF2|NUF2	+|+	38|38
chr1	164717261	164718299	26	0	0			
chr1	165796563	165798577	21	0	0	UCK2	+	-681
chr1	167683453	167685102	36	0	0			
chr1	169077881	169079955	24	0	0			
chr1	169862621	169863809	23	0	0	SCYL3|SCYL3	-|-	139|139
chr1	173683764	173684522	21	0	0	KLHL20	+	-64
chr1	173792918	173794617	22	0	0	CENPL|CENPL|DARS2|CENPL	-|-|+|-	-10|497|29|-10
chr1	173835856	173838001	22	0	0	ZBTB37|ZBTB37|GAS5|SNORD74|SNORD44|SNORD75|SNORD76|SNORD77	+|+|-|-|-|-|-|-	564|564|-197|45|1762|852|1075|1419
chr1	174968186	174969426	28	0	0	CACYBP|CACYBP	+|+	-236|85
chr1	174992235	174993056	20	0	0	MRPS14	-	84
chr1	179851118	179852197	26	0	0	TOR1AIP1	+	-238
chr1	181081524	181082664	23	0	0			
chr1	183440041	183441964	35	0	0	SMG7|SMG7|SMG7|SMG7	+|+|+|+	503|503|503|503
chr1	186343881	186345282	26	0	0	C1orf27|C1orf27|TPR|C1orf27	+|+|-|+	308|308|124|308
chr1	186649218	186650157	23	0	0	PTGS2	-	128
