# Argument List:
# Name = hot20
# peak file = hot20.bed
# gene pos to peak = up,down
# distance = 2000 bp
# genome = ../../../bin/peak2gene/hg19.refGene
# Output symbol as gene name = True
#chrom	gTSS	gTTS	gene	NA	strand	pName	TSS2pCenter
chr1	110881944	110889303	RBM15	0	+	23	528
chr1	110828998	110881793	LOC440600	0	-	23	-377
chr1	12627939	12677820	DHRS3	0	-	20	747
chr1	149858524	149858960	HIST2H2AC	0	+	39	-31
chr1	149856011	149858232	HIST2H2BE	0	-	39	323
chr1	149859019	149859466	HIST2H2AB	0	-	39	-911
chr1	150459919	150479747	TARS2	0	+	20	69
chr1	150898814	150937220	SETDB1	0	+	22|22|22	-35|-35|-25
chr1	151043079	151091007	GABPB2	0	+	28	-276
chr1	151132224	151138424	LYSMD1	0	-	23|23	198|252
chr1	151138516	151141612	SCNM1	0	+	23	-106
chr1	151254790	151264380	ZNF687	0	+	24	370
chr1	151372040	151374412	PSMB4	0	+	20	13
chr1	151518271	151518367	MIR554	0	+	20	-1558
chr1	151846059	151882113	THEM4	0	-	21	91
chr1	151955386	151966714	S100A10	0	-	22	-1583
chr1	153634514	153643479	ILF2	0	-	25	154
chr1	154521050	154531120	UBE2Q1	0	-	22	576
chr1	154897208	154909484	PMVK	0	-	22	99
chr1	154934774	154946959	SHC1	0	-	41|41	-405|-405
chr1	154947117	154951724	CKS1B	0	+	41|41	563|563
chr1	154948168	154948259	MIR4258	0	+	41	1614
chr1	154975111	154990998	ZBTB7B	0	+	33	1600
chr1	155158301	155162700	MUC1	0	-	23|23|23|23|23|23|23	1196|1196|1196|1196|1196|1196|1196
chr1	155164967	155165063	MIR92B	0	+	23	1071
chr1	155204239	155214653	GBA	0	-	22|22|22	-138|-138|-138
chr1	155290251	155293938	C1orf104	0	-	20	-368
chr1	155293727	155300909	RUSC1	0	+	20|20	157|647
chr1	156084460	156107656	LMNA	0	+	22|22|22	-97|-97|-97
chr1	156163729	156182586	SLC25A44	0	+	23	-160
chr1	156707093	156710923	MRPL24	0	-	21|21	133|133
chr1	159887902	159895284	TAGLN2	0	-	22	-207
chr1	161736083	161928851	ATF6	0	+	24	-40
chr1	163291722	163325553	NUF2	0	+	23|23	38|38
chr1	165796889	165877337	UCK2	0	+	21	-681
chr1	169821803	169863076	SCYL3	0	-	23|23	139|139
chr1	173684079	173755838	KLHL20	0	+	21	-64
chr1	173768690	173793777	CENPL	0	-	22|22|22	-10|497|-10
chr1	173793796	173827682	DARS2	0	+	22	29
chr1	173837492	173855774	ZBTB37	0	+	22|22	564|564
chr1	173833039	173837125	GAS5	0	-	22	-197
chr1	173836811	173836883	SNORD74	0	-	22	45
chr1	173835105	173835166	SNORD44	0	-	22	1762
chr1	173836016	173836076	SNORD75	0	-	22	852
chr1	173835772	173835853	SNORD76	0	-	22	1075
chr1	173835448	173835509	SNORD77	0	-	22	1419
chr1	174968570	174981163	CACYBP	0	+	28|28	-236|85
chr1	174983129	174992561	MRPS14	0	-	20	84
chr1	179851419	179889212	TOR1AIP1	0	+	26	-238
chr1	183441505	183523327	SMG7	0	+	35|35|35|35	503|503|503|503
chr1	186344889	186390502	C1orf27	0	+	26|26|26	308|308|308
chr1	186280787	186344457	TPR	0	-	26	124
chr1	186640944	186649559	PTGS2	0	-	23	128
chr1	193029003	193060904	TROVE2	0	+	22|22|22|22|22|22	200|200|-252|200|200|-252
chr1	192984899	193028521	UCHL5	0	-	22	282
chr1	193091087	193223940	CDC73	0	+	22	-208
chr1	200863998	200884863	C1orf106	0	+	27	-1516
chr1	202860229	202896371	KLHL12	0	-	21	-109
chr1	203830739	203840278	SNRPE	0	+	28	-152
chr1	205055271	205091150	RBBP5	0	-	26|26|26	137|137|137
chr1	205111631	205180727	DSTYK	0	-	20|20	19|19
chr1	205681946	205719372	NUCKS1	0	-	20	-465
chr1	206764973	206785904	LGTN	0	-	24	-71
chr1	210001311	210030908	C1orf107	0	+	20	1
chr1	212899495	212965139	NSL1	0	-	22|22	119|119
chr1	212965169	212990167	TATDN3	0	+	22|22|22|22|22	-89|-89|-89|-89|-89
chr1	218458628	218511323	RRP15	0	+	22	-55
chr1	222841356	222885864	AIDA	0	-	22	475
chr1	222885905	222906106	C1orf58	0	+	22	-434
chr1	223889294	223963718	CAPN2	0	+	24	487
chr1	234509428	234519790	C1orf31	0	+	29	160
chr1	235610532	235667781	B3GALNT2	0	-	24	226
chr1	244998638	245008357	FAM36A	0	+	27	618
chr1	249104650	249120154	SH3BP5L	0	-	20	329
chr1	249120575	249120642	MIR3124	0	+	20	92
chr1	33283175	33300665	S100PBP	0	+	21|21	-186|-186
chr1	33240839	33283633	YARS	0	-	21	-272
chr1	36805224	36851485	STK40	0	-	22	382
chr1	38422653	38455761	SF3A3	0	-	22	46
chr1	45271589	45272957	TCTEX1D4	0	-	20	270
chr1	45274153	45279801	BTBD19	0	+	20	926
chr1	63906461	63988835	ITGB3BP	0	-	21	230
chr1	63989012	64038363	EFCAB7	0	+	21	-53
chr1	78030190	78148343	ZZZ3	0	-	22	432
chr1	8071779	8086393	ERRFI1	0	-	23	770
chr1	8921062	8938780	ENO1	0	-	21	-597
chr10	101370274	101380221	SLC25A28	0	-	21	456
chr10	102133332	102148110	NCRNA00263	0	+	31	-49
chr10	102295640	102313680	HIF1AN	0	+	21	-3
chr10	102756964	102767585	LZTS2	0	+	20	-369
chr10	103892786	103910088	PPRC1	0	+	28	-232
chr10	103911932	103923627	NOLC1	0	+	22	-74
chr10	104613966	104624718	C10orf32	0	+	24|24	-127|-127
chr10	105881928	105886142	C10orf78	0	+	23|23	431|318
chr10	112658487	112679124	NCRNA00081	0	-	22|22|22|22|22	-170|-170|260|-170|-170
chr10	112679300	112773424	SHOC2	0	+	22	346
chr10	114190059	114206672	ZDHHC6	0	-	20	176
chr10	114206755	114578501	VTI1A	0	+	20	-93
chr10	115594483	115613859	DCLRE1A	0	-	23	437
chr10	115614390	115672264	NHLRC2	0	+	23	94
chr10	121652222	121701245	SEC23IP	0	+	21	128
chr10	12237960	12292587	CDC123	0	+	22	-101
chr10	12209573	12238143	NUDT5	0	-	22	-82
chr10	122610686	122669038	WDR11	0	+	21	-213
chr10	122521323	122610691	LOC283089	0	-	21	208
chr10	124690418	124713919	C10orf88	0	-	20	-77
chr10	131862163	131909081	LOC387723	0	-	20	131
chr10	21783421	21786213	C10orf114	0	-	32	-740
chr10	21785491	21785570	MIR1915	0	-	32	-97
chr10	21802410	21814611	C10orf140	0	-	24	751
chr10	21823573	22032555	MLLT10	0	+	21|21|21|21|21|21	367|367|-106|-106|-106|-106
chr10	32557858	32636113	EPC1	0	-	26	-438
chr10	33189247	33247293	ITGB1	0	-	24|24	260|731
chr10	33486546	33623833	NRP1	0	-	27|27|27	964|964|964
chr10	35298807	35379294	CUL2	0	-	20	224
chr10	3818188	3827473	KLF6	0	-	22|22|22|22	-1852|-1852|-1852|-1852
