# Argument List:
# Name = hot45
# peak file = hot45.bed
# gene pos to peak = up,down
# distance = 2000 bp
# genome = ../../../bin/peak2gene/hg19.refGene
# Output symbol as gene name = True
#chrom	pStart	pEnd	pName	pScore	NA	gene	strand	TSS2pCenter
chr10	47055787	47059541	51	0	0			
chr12	110545154	110547722	47	0	0			
chr12	125423486	125425760	46	0	0			
chr12	6641452	6644968	48	0	0	GAPDH	+	446
chr15	63795249	63797382	55	0	0	USP3	+	494
chr17	38626264	38631522	49	0	0			
chr17	38707317	38708973	51	0	0			
chr17	43224045	43227031	56	0	0	HEXIM1	+	-855
chr17	44269588	44271840	48	0	0	KIAA1267|KIAA1267|LOC644246	-|-|+	548|442|224
chr17	57914838	57919111	55	0	0	MIR21	+	1652
chr17	57920372	57922695	55	0	0			
chr17	73029675	73031747	49	0	0			
chr17	76311340	76314021	45	0	0			
chr17	8021582	8024596	49	0	0	ALOXE3|ALOXE3	-|-	855|1229
chr17	8088939	8091513	56	0	0			
chr19	39339038	39343767	66	0	0	HNRNPL|HNRNPL	-|-	-1577|785
chr19	41220755	41225295	61	0	0	ADCK4|ITPKC	-|+	235|-18
chr19	50379422	50381895	47	0	0	AKT1S1|AKT1S1|TBC1D17|TBC1D17|AKT1S1	-|-|+|+|-	14|46|23|23|80
chr2	55275459	55278805	51	0	0	RTN4|RTN4|RTN4|RTN4	-|-|-|-	-602|-602|-602|806
chr20	25289270	25292267	57	0	0			
chr9	73033119	73036162	45	0	0			
