# Argument List:
# Name = hot30
# peak file = hot30.bed
# gene pos to peak = up,down
# distance = 2000 bp
# genome = ../../../bin/peak2gene/hg19.refGene
# Output symbol as gene name = True
#chrom	pStart	pEnd	pName	pScore	NA	gene	strand	TSS2pCenter
chr1	149856666	149860445	39	0	0	HIST2H2AC|HIST2H2BE|HIST2H2AB	+|-|-	-31|323|-911
chr1	152020084	152021480	30	0	0			
chr1	154944814	154948294	41	0	0	SHC1|CKS1B|SHC1|CKS1B|MIR4258	-|+|-|+|+	-405|563|-405|563|1614
chr1	154972099	154974924	33	0	0	ZBTB7B	+	1600
chr1	16125381	16127879	37	0	0			
chr1	167683453	167685102	36	0	0			
chr1	183440041	183441964	35	0	0	SMG7|SMG7|SMG7|SMG7	+|+|+|+	503|503|503|503
chr1	210546595	210548135	31	0	0			
chr1	230240288	230242074	38	0	0			
chr1	233248534	233249690	32	0	0			
chr1	23881130	23884367	34	0	0			
chr10	102132551	102134212	31	0	0	NCRNA00263	+	-49
chr10	123861258	123862526	31	0	0			
chr10	21784319	21786627	32	0	0	C10orf114|MIR1915	-|-	-740|-97
chr10	33444687	33445585	30	0	0			
chr10	47006966	47010153	37	0	0			
chr10	47055787	47059541	51	0	0			
chr10	47092107	47093935	33	0	0			
chr10	5189234	5191004	33	0	0			
chr10	74032430	74034971	42	0	0	DDIT4	+	-24
chr11	18405005	18406485	32	0	0			
chr11	58345244	58347467	38	0	0	LPXN|ZFP91|ZFP91-CNTF	-|+|+	716|231|231
chr11	59317700	59319546	36	0	0			
chr11	65189391	65191500	36	0	0	NEAT1	+	-177
chr11	65769385	65770699	33	0	0	BANF1|BANF1|EIF1AD	+|+|-	-493|-493|464
chr11	67140870	67142774	30	0	0	CLCF1|CLCF1	-|-	174|616
chr11	67780590	67782607	31	0	0			
chr11	69467721	69470198	32	0	0			
chr11	73498616	73500020	30	0	0	MRPL48	+	-402
chr12	104613012	104614251	34	0	0			
chr12	110545154	110547722	47	0	0			
chr12	110905767	110907380	38	0	0	GPN3|GPN3|C12orf24|GPN3	-|-|+|-	47|484|-342|484
chr12	125400758	125402605	41	0	0			
chr12	125411612	125413392	40	0	0			
chr12	125423486	125425760	46	0	0			
chr12	14922335	14924389	41	0	0	HIST4H4	-	-703
chr12	47472453	47475383	34	0	0	AMIGO2|AMIGO2	-|-	184|184
chr12	47478824	47480249	31	0	0			
chr12	52674069	52675430	31	0	0			
chr12	53399647	53401288	30	0	0	EIF4B	+	-406
chr12	53845337	53846848	34	0	0	PCBP2|PCBP2|PCBP2|PCBP2|PCBP2|PCBP2|PCBP2	+|+|+|+|+|+|+	-207|-207|-207|-207|-207|-207|-207
chr12	54672942	54675309	38	0	0	HNRNPA1|CBX5|HNRNPA1|HNRPA1L-2	+|-|+|+	362|210|362|407
chr12	57504857	57506529	32	0	0	STAT6|STAT6|STAT6|STAT6|STAT6|STAT6	-|-|-|-|-|-	497|1604|497|497|497|497
chr12	62995918	62997721	32	0	0	C12orf61|MIRLET7I	-|+	-395|646
chr12	6444658	6446804	32	0	0			
chr12	6641452	6644968	48	0	0	GAPDH	+	446
chr12	6645175	6648749	33	0	0			
chr12	679542	682120	31	0	0			
chr12	6797893	6799210	32	0	0	ZNF384|ZNF384|ZNF384|ZNF384|ZNF384|ZNF384|ZNF384	-|-|-|-|-|-|-	726|-118|24|-118|-118|-125|24
chr12	7052164	7054221	30	0	0	C12orf57	+	10
chr12	76371593	76372463	30	0	0			
chr12	860105	862062	30	0	0	WNK1|WNK1|WNK1|WNK1	+|+|+|+	1005|1005|1005|1005
chr12	96199498	96200523	30	0	0			
chr12	98896831	98898361	35	0	0			
chr14	21149529	21151795	32	0	0	ANG|RNASE4	+|+	1673|1709
chr14	35872771	35874421	30	0	0	NFKBIA	-	-364
chr14	58893583	58894706	33	0	0	TIMM9|KIAA0586	-|+	-88|565
chr14	77499009	77500964	33	0	0			
chr14	81685425	81688121	32	0	0	GTF2A1|GTF2A1	-|-	-521|-802
chr15	101261265	101263013	30	0	0			
chr15	50646799	50647941	32	0	0	GABPB1|GABPB1|GABPB1|GABPB1|GABPB1|LOC100129387|FLJ10038	-|-|-|-|-|+|-	-235|-235|-235|-235|-235|-1000|294
chr15	58624178	58625702	38	0	0			
chr15	60684717	60686894	30	0	0			
chr15	60688264	60691884	42	0	0	ANXA2|ANXA2|ANXA2|ANXA2	-|-|-|-	-111|-111|-111|-111
chr15	63795249	63797382	55	0	0	USP3	+	494
chr15	67340468	67342436	33	0	0			
chr15	68569717	68570947	33	0	0	FEM1B	+	-192
chr15	70800068	70801642	40	0	0			
chr15	72038984	72041248	30	0	0			
chr15	72522566	72524936	32	0	0	PKM2|PKM2|PKM2	-|-|-	67|67|67
chr15	75659974	75661542	31	0	0	MAN2C1	-	-183
