# Argument List:
# Name = hot25
# peak file = hot25.bed
# gene pos to peak = up,down
# distance = 2000 bp
# genome = ../../../bin/peak2gene/hg19.refGene
# Output symbol as gene name = True
#chrom	gTSS	gTTS	gene	NA	strand	pName	TSS2pCenter
chr1	149858524	149858960	HIST2H2AC	0	+	39	-31
chr1	149856011	149858232	HIST2H2BE	0	-	39	323
chr1	149859019	149859466	HIST2H2AB	0	-	39	-911
chr1	151043079	151091007	GABPB2	0	+	28	-276
chr1	153634514	153643479	ILF2	0	-	25	154
chr1	154934774	154946959	SHC1	0	-	41|41	-405|-405
chr1	154947117	154951724	CKS1B	0	+	41|41	563|563
chr1	154948168	154948259	MIR4258	0	+	41	1614
chr1	154975111	154990998	ZBTB7B	0	+	33	1600
chr1	174968570	174981163	CACYBP	0	+	28|28	-236|85
chr1	179851419	179889212	TOR1AIP1	0	+	26	-238
chr1	183441505	183523327	SMG7	0	+	35|35|35|35	503|503|503|503
chr1	186344889	186390502	C1orf27	0	+	26|26|26	308|308|308
chr1	186280787	186344457	TPR	0	-	26	124
chr1	200863998	200884863	C1orf106	0	+	27	-1516
chr1	203830739	203840278	SNRPE	0	+	28	-152
chr1	205055271	205091150	RBBP5	0	-	26|26|26	137|137|137
chr1	234509428	234519790	C1orf31	0	+	29	160
chr1	244998638	245008357	FAM36A	0	+	27	618
chr10	102133332	102148110	NCRNA00263	0	+	31	-49
chr10	103892786	103910088	PPRC1	0	+	28	-232
chr10	21783421	21786213	C10orf114	0	-	32	-740
chr10	21785491	21785570	MIR1915	0	-	32	-97
chr10	32557858	32636113	EPC1	0	-	26	-438
chr10	33486546	33623833	NRP1	0	-	27|27|27	964|964|964
chr10	74033676	74035797	DDIT4	0	+	42	-24
chr10	74092587	74114907	DNAJB12	0	-	27|27	-657|-657
chr10	79734907	79789298	POLR3A	0	-	27	149
chr10	95427640	95462329	FRA10AC1	0	-	25	23
chr10	97889471	97923510	ZNF518A	0	+	25	-507
chr11	18343815	18388590	GTF2H1	0	+	25|25	-72|-72
chr11	18300216	18343721	HPS5	0	-	25|25|25	166|166|166
chr11	46722643	46727467	ZNF408	0	+	26|26	289|-38
chr11	46698633	46722120	ARHGAP1	0	-	26	234
chr11	58294345	58345639	LPXN	0	-	38	716
chr11	58346586	58388513	ZFP91	0	+	38	231
chr11	58346586	58393203	ZFP91-CNTF	0	+	38	231
chr11	61560149	61564707	FEN1	0	+	25	119
chr11	61556602	61560085	C11orf10	0	-	25	-55
chr11	61559967	61560033	MIR611	0	-	25	-3
chr11	64863682	64879180	C11orf2	0	+	25	-163
chr11	65142662	65150142	SLC25A45	0	-	29|29	-141|-141
chr11	65190268	65194001	NEAT1	0	+	36	-177
chr11	65479488	65487074	KAT5	0	+	27|27|27	-253|-253|-253
chr11	65769549	65771616	BANF1	0	+	33|33	-493|-493
chr11	65764016	65769578	EIF1AD	0	-	33	464
chr11	67131640	67141648	CLCF1	0	-	30|30	174|616
chr11	71639767	71708641	RNF121	0	+	26|26|26	25|25|25
chr11	71576554	71639493	LOC100133315	0	-	26	249
chr11	73498916	73575655	MRPL48	0	+	30	-402
chr11	82868136	82896833	PCF11	0	+	26	-252
