# Argument List:
# Name = hot15
# peak file = hot15.bed
# gene pos to peak = up,down
# distance = 2000 bp
# genome = ../../../bin/peak2gene/hg19.refGene
# Output symbol as gene name = True
#chrom	gTSS	gTTS	gene	NA	strand	pName	TSS2pCenter
chr1	100598705	100616053	CCDC76	0	+	15	45
chr1	100549103	100598511	SASS6	0	-	15	149
chr1	10520604	10532613	DFFA	0	-	15|15	-3|-3
chr1	109289284	109352139	STXBP3	0	+	16	-291
chr1	110881944	110889303	RBM15	0	+	23	528
chr1	110828998	110881793	LOC440600	0	-	23	-377
chr1	113162074	113214241	CAPZA1	0	+	15	-255
chr1	113066141	113162040	ST7L	0	-	15|15|15|15	289|289|289|289
chr1	114437676	114447741	AP4B1	0	-	15	-19
chr1	114447914	114456707	DCLRE1B	0	+	15	192
chr1	11866206	11903200	CLCN6	0	+	15|15|15|15	161|161|161|161
chr1	11845786	11866160	MTHFR	0	-	15	-115
chr1	12627939	12677820	DHRS3	0	-	20	747
chr1	1309109	1310580	AURKAIP1	0	-	18|18|18	149|167|-89
chr1	144890590	144932032	PDE4DIP	0	-	15	370
chr1	145507637	145511444	RBM8A	0	+	15	31
chr1	146714290	146767441	CHD1L	0	+	15	-149
chr1	149858524	149858960	HIST2H2AC	0	+	39	-31
chr1	149856011	149858232	HIST2H2BE	0	-	39	323
chr1	149859019	149859466	HIST2H2AB	0	-	39	-911
chr1	149912232	149982686	OTUD7B	0	-	17	34
chr1	150039341	150117504	VPS45	0	+	19	-223
chr1	150190717	150208504	ANP32E	0	-	15|15|15	324|1802|324
chr1	150459919	150479747	TARS2	0	+	20	69
chr1	150547036	150552136	MCL1	0	-	15|15	-412|-412
chr1	150898814	150937220	SETDB1	0	+	22|22|22	-35|-35|-25
chr1	151043079	151091007	GABPB2	0	+	28	-276
chr1	151132224	151138424	LYSMD1	0	-	23|23	198|252
chr1	151138516	151141612	SCNM1	0	+	23	-106
chr1	151148933	151162640	VPS72	0	-	15	113
chr1	151254790	151264380	ZNF687	0	+	24	370
chr1	151372040	151374412	PSMB4	0	+	20	13
chr1	151518271	151518367	MIR554	0	+	20	-1558
chr1	151584661	151671559	SNX27	0	+	15	325
chr1	151846059	151882113	THEM4	0	-	21	91
chr1	151955386	151966714	S100A10	0	-	22	-1583
chr1	153507075	153508717	S100A6	0	-	15	177
chr1	153516097	153518282	S100A4	0	-	19|19	-287|-287
chr1	153533586	153538306	S100A2	0	-	18	954
chr1	153591279	153606568	S100A13	0	-	17	-35
chr1	153606524	153617979	C1orf77	0	+	17	-9
chr1	153634514	153643479	ILF2	0	-	25	154
chr1	153777203	153895451	GATAD2B	0	-	17	93
chr1	153920153	153931043	CRTC2	0	-	15	116
chr1	153931588	153940188	SLC39A1	0	-	15	-195
chr1	153940396	153946832	CREB3L4	0	+	15	403
chr1	154179182	154193273	C1orf43	0	-	16|16|16	-7|-7|-7
chr1	154192654	154235978	UBAP2L	0	+	16|16	-612|58
chr1	154245038	154248349	HAX1	0	+	15|15	64|64
chr1	154521050	154531120	UBE2Q1	0	-	22	576
chr1	154897208	154909484	PMVK	0	-	22	99
chr1	154934774	154943223	SHC1	0	-	16|16|41|41	128|128|-405|-405
chr1	154947117	154951724	CKS1B	0	+	41|41	563|563
chr1	154948168	154948259	MIR4258	0	+	41	1614
chr1	154955769	154965587	FLAD1	0	+	16|16|16|16	29|29|29|29
chr1	154975111	154990998	ZBTB7B	0	+	33	1600
