# Argument List:
# Name = hot35
# peak file = hot35.bed
# gene pos to peak = up,down
# distance = 2000 bp
# genome = ../../../bin/peak2gene/hg19.refGene
# Output symbol as gene name = True
#chrom	pStart	pEnd	pName	pScore	NA	gene	strand	TSS2pCenter
chr1	149856666	149860445	39	0	0	HIST2H2AC|HIST2H2BE|HIST2H2AB	+|-|-	-31|323|-911
chr1	154944814	154948294	41	0	0	SHC1|CKS1B|SHC1|CKS1B|MIR4258	-|+|-|+|+	-405|563|-405|563|1614
chr1	16125381	16127879	37	0	0			
chr1	167683453	167685102	36	0	0			
chr1	183440041	183441964	35	0	0	SMG7|SMG7|SMG7|SMG7	+|+|+|+	503|503|503|503
chr1	230240288	230242074	38	0	0			
chr10	47006966	47010153	37	0	0			
chr10	47055787	47059541	51	0	0			
chr10	74032430	74034971	42	0	0	DDIT4	+	-24
chr11	58345244	58347467	38	0	0	LPXN|ZFP91|ZFP91-CNTF	-|+|+	716|231|231
chr11	59317700	59319546	36	0	0			
chr11	65189391	65191500	36	0	0	NEAT1	+	-177
chr12	110545154	110547722	47	0	0			
chr12	110905767	110907380	38	0	0	GPN3|GPN3|C12orf24|GPN3	-|-|+|-	47|484|-342|484
chr12	125400758	125402605	41	0	0			
chr12	125411612	125413392	40	0	0			
chr12	125423486	125425760	46	0	0			
chr12	14922335	14924389	41	0	0	HIST4H4	-	-703
chr12	54672942	54675309	38	0	0	HNRNPA1|CBX5|HNRNPA1|HNRPA1L-2	+|-|+|+	362|210|362|407
chr12	6641452	6644968	48	0	0	GAPDH	+	446
chr12	98896831	98898361	35	0	0			
chr15	58624178	58625702	38	0	0			
chr15	60688264	60691884	42	0	0	ANXA2|ANXA2|ANXA2|ANXA2	-|-|-|-	-111|-111|-111|-111
chr15	63795249	63797382	55	0	0	USP3	+	494
chr15	70800068	70801642	40	0	0			
chr15	85523402	85525498	35	0	0	PDE8A|PDE8A	+|+	754|754
chr15	86122098	86125214	38	0	0			
chr15	99415921	99417565	44	0	0			
chr15	99439301	99441153	38	0	0			
chr16	88365521	88367919	36	0	0			
chr17	1619175	1621471	36	0	0	WDR81|WDR81|C17orf91|C17orf91|C17orf91|C17orf91	+|+|-|-|-|-	-507|-507|757|757|757|757
chr17	19650449	19653176	37	0	0	ALDH3A1	-	66
chr17	201572	203391	35	0	0	RPH3AL|RPH3AL|RPH3AL|RPH3AL	-|-|-|-	-152|-152|-152|-152
chr17	36907803	36909358	38	0	0	PSMB3	+	421
chr17	38626264	38631522	49	0	0			
chr17	38642120	38643740	36	0	0			
chr17	38707317	38708973	51	0	0			
chr17	39844150	39846492	37	0	0	EIF1	+	-195
chr17	43224045	43227031	56	0	0	HEXIM1	+	-855
chr17	43660739	43662888	36	0	0			
chr17	44269588	44271840	48	0	0	KIAA1267|KIAA1267|LOC644246	-|-|+	548|442|224
chr17	46124810	46126686	42	0	0	NFE2L1	+	-63
chr17	47072370	47076119	37	0	0	IGF2BP1|IGF2BP1	+|+	529|529
chr17	47269030	47270741	37	0	0			
chr17	4850660	4854106	41	0	0	PFN1	-	558
chr17	48714652	48717217	40	0	0			
chr17	48737527	48739811	35	0	0			
chr17	48942366	48945679	38	0	0			
chr17	57914838	57919111	55	0	0	MIR21	+	1652
chr17	57920372	57922695	55	0	0			
chr17	57922792	57924613	35	0	0			
chr17	73029675	73031747	49	0	0			
chr17	7386481	7388646	37	0	0	POLR2A|ZBTB4	+|-	134|-5
chr17	73871713	73875587	38	0	0	TRIM47	-	-1006
chr17	76311340	76314021	45	0	0			
chr17	80197162	80203081	37	0	0			
chr17	8021582	8024596	49	0	0	ALOXE3|ALOXE3	-|-	855|1229
chr17	8088939	8091513	56	0	0			
chr17	8123943	8125180	36	0	0			
chr19	36207356	36209169	40	0	0	MLL4	+	658
chr19	39173754	39175548	43	0	0			
chr19	39339038	39343767	66	0	0	HNRNPL|HNRNPL	-|-	-1577|785
chr19	39465598	39467664	35	0	0	FBXO17	-	251
chr19	41220755	41225295	61	0	0	ADCK4|ITPKC	-|+	235|-18
chr19	41256056	41257913	36	0	0	SNRPA|C19orf54	+|-	-226|1156
chr19	41426685	41427779	39	0	0			
chr19	45908060	45910312	39	0	0	PPP1R13L|PPP1R13L|CD3EAP	-|-|+	-421|874|280
chr19	47289199	47292127	38	0	0	SLC1A5|SLC1A5	-|-	118|-1179
chr19	47729200	47732396	39	0	0	MIR3190|MIR3191	+|-	-600|522
chr19	50379422	50381895	47	0	0	AKT1S1|AKT1S1|TBC1D17|TBC1D17|AKT1S1	-|-|+|+|-	14|46|23|23|80
chr19	56092033	56093917	36	0	0	ZNF579	-	764
chr2	228682607	228683911	40	0	0			
chr2	27273338	27274716	43	0	0	AGBL5|AGBL5	+|+	463|463
chr2	55275459	55278805	51	0	0	RTN4|RTN4|RTN4|RTN4	-|-|-|-	-602|-602|-602|806
chr2	70313111	70315004	35	0	0	PCBP1|LOC400960	+|-	527|-90
chr20	10413888	10416266	41	0	0	C20orf94|MKKS	+|-	873|211
chr20	25289270	25292267	57	0	0			
chr3	5019787	5022528	38	0	0	BHLHE40	+	-61
chr6	35693311	35696349	37	0	0	FKBP5	-	-1530
chr8	126441254	126444712	35	0	0	TRIB1	+	-421
chr9	73033119	73036162	45	0	0			
