# Argument List:
# Name = hot40
# peak file = hot40.bed
# gene pos to peak = up,down
# distance = 2000 bp
# genome = ../../../bin/peak2gene/hg19.refGene
# Output symbol as gene name = True
#chrom	gTSS	gTTS	gene	NA	strand	pName	TSS2pCenter
chr1	154934774	154946959	SHC1	0	-	41|41	-405|-405
chr1	154947117	154951724	CKS1B	0	+	41|41	563|563
chr1	154948168	154948259	MIR4258	0	+	41	1614
chr10	74033676	74035797	DDIT4	0	+	42	-24
chr12	14923654	14924065	HIST4H4	0	-	41	-703
chr12	6643656	6647536	GAPDH	0	+	48	446
chr15	60639351	60690185	ANXA2	0	-	42|42|42|42	-111|-111|-111|-111
chr15	63796809	63883659	USP3	0	+	55	494
chr17	43224683	43229467	HEXIM1	0	+	56	-855
chr17	44107282	44270166	KIAA1267	0	-	48|48	548|442
chr17	44270938	44274080	LOC644246	0	+	48	224
chr17	46125685	46138906	NFE2L1	0	+	42	-63
chr17	4848948	4851825	PFN1	0	-	41	558
chr17	57918626	57918697	MIR21	0	+	55	1652
chr17	7999218	8022234	ALOXE3	0	-	49|49	855|1229
chr19	36208920	36229778	MLL4	0	+	40	658
chr19	39327028	39342979	HNRNPL	0	-	66|66	-1577|785
chr19	41197433	41222790	ADCK4	0	-	61	235
chr19	41223007	41246763	ITPKC	0	+	61	-18
chr19	50372298	50380644	AKT1S1	0	-	47|47|47	14|46|80
chr19	50380681	50392006	TBC1D17	0	+	47|47	23|23
chr2	27274490	27282401	AGBL5	0	+	43|43	463|463
chr2	55199328	55277734	RTN4	0	-	51|51|51|51	-602|-602|-602|806
chr20	10415950	10604025	C20orf94	0	+	41	873
chr20	10385832	10414866	MKKS	0	-	41	211
