# Argument List:
# Name = hot45
# peak file = hot45.bed
# gene pos to peak = up,down
# distance = 2000 bp
# genome = ../../../bin/peak2gene/hg19.refGene
# Output symbol as gene name = True
#chrom	gTSS	gTTS	gene	NA	strand	pName	TSS2pCenter
chr12	6643656	6647536	GAPDH	0	+	48	446
chr15	63796809	63883659	USP3	0	+	55	494
chr17	43224683	43229467	HEXIM1	0	+	56	-855
chr17	44107282	44270166	KIAA1267	0	-	48|48	548|442
chr17	44270938	44274080	LOC644246	0	+	48	224
chr17	57918626	57918697	MIR21	0	+	55	1652
chr17	7999218	8022234	ALOXE3	0	-	49|49	855|1229
chr19	39327028	39342979	HNRNPL	0	-	66|66	-1577|785
chr19	41197433	41222790	ADCK4	0	-	61	235
chr19	41223007	41246763	ITPKC	0	+	61	-18
chr19	50372298	50380644	AKT1S1	0	-	47|47|47	14|46|80
chr19	50380681	50392006	TBC1D17	0	+	47|47	23|23
chr2	55199328	55277734	RTN4	0	-	51|51|51|51	-602|-602|-602|806
