# Argument List:
# Name = hot25
# peak file = hot25.bed
# gene pos to peak = up,down
# distance = 2000 bp
# genome = ../../../bin/peak2gene/hg19.refGene
# Output symbol as gene name = True
#chrom	pStart	pEnd	pName	pScore	NA	gene	strand	TSS2pCenter
chr1	149856666	149860445	39	0	0	HIST2H2AC|HIST2H2BE|HIST2H2AB	+|-|-	-31|323|-911
chr1	150533157	150535236	26	0	0			
chr1	151042730	151043981	28	0	0	GABPB2	+	-276
chr1	151960799	151963724	29	0	0			
chr1	152020084	152021480	30	0	0			
chr1	153643171	153644095	25	0	0	ILF2	-	154
chr1	154944814	154948294	41	0	0	SHC1|CKS1B|SHC1|CKS1B|MIR4258	-|+|-|+|+	-405|563|-405|563|1614
chr1	154972099	154974924	33	0	0	ZBTB7B	+	1600
chr1	156629689	156630639	25	0	0			
chr1	16125381	16127879	37	0	0			
chr1	164717261	164718299	26	0	0			
chr1	167683453	167685102	36	0	0			
chr1	174968186	174969426	28	0	0	CACYBP|CACYBP	+|+	-236|85
chr1	179851118	179852197	26	0	0	TOR1AIP1	+	-238
chr1	183440041	183441964	35	0	0	SMG7|SMG7|SMG7|SMG7	+|+|+|+	503|503|503|503
chr1	186343881	186345282	26	0	0	C1orf27|C1orf27|TPR|C1orf27	+|+|-|+	308|308|124|308
chr1	200864731	200866298	27	0	0	C1orf106	+	-1516
chr1	203830327	203831455	28	0	0	SNRPE	+	-152
chr1	205090804	205091771	26	0	0	RBBP5|RBBP5|RBBP5	-|-|-	137|137|137
chr1	210546595	210548135	31	0	0			
chr1	218539834	218540909	25	0	0			
chr1	218878982	218879954	27	0	0			
chr1	222638088	222639300	27	0	0			
chr1	230240288	230242074	38	0	0			
chr1	233248534	233249690	32	0	0			
chr1	234508812	234509725	29	0	0	C1orf31	+	160
chr1	234859595	234860501	25	0	0			
chr1	23881130	23884367	34	0	0			
chr1	244996978	244999062	27	0	0	FAM36A	+	618
chr1	24620602	24621738	25	0	0			
chr1	249167210	249168833	29	0	0			
chr1	27018742	27020156	25	0	0			
chr1	55894658	55895405	26	0	0			
chr10	102132551	102134212	31	0	0	NCRNA00263	+	-49
chr10	103892132	103893905	28	0	0	PPRC1	+	-232
chr10	121076148	121077432	25	0	0			
chr10	123861258	123862526	31	0	0			
chr10	123871408	123873582	28	0	0			
chr10	21581548	21582592	26	0	0			
chr10	21784319	21786627	32	0	0	C10orf114|MIR1915	-|-	-740|-97
chr10	29228109	29229336	27	0	0			
chr10	3137392	3138723	26	0	0			
chr10	32634940	32636411	26	0	0	EPC1	-	-438
chr10	33298869	33299822	27	0	0			
chr10	33444687	33445585	30	0	0			
chr10	33623853	33625742	27	0	0	NRP1|NRP1|NRP1	-|-|-	964|964|964
chr10	47006966	47010153	37	0	0			
chr10	47055787	47059541	51	0	0			
chr10	47092107	47093935	33	0	0			
chr10	5026429	5027927	27	0	0			
chr10	5113226	5114620	28	0	0			
chr10	5189234	5191004	33	0	0			
chr10	65389069	65391109	25	0	0			
chr10	73526288	73527909	27	0	0			
chr10	74032430	74034971	42	0	0	DDIT4	+	-24
chr10	74113297	74115204	27	0	0	DNAJB12|DNAJB12	-|-	-657|-657
chr10	79788951	79789944	27	0	0	POLR3A	-	149
chr10	80732353	80734947	27	0	0			
chr10	93349960	93351572	26	0	0			
chr10	95461969	95462735	25	0	0	FRA10AC1	-	23
chr10	97889348	97890609	25	0	0	ZNF518A	+	-507
chr11	18343428	18344347	25	0	0	GTF2H1|GTF2H1|HPS5|HPS5|HPS5	+|+|-|-|-	-72|-72|166|166|166
chr11	18405005	18406485	32	0	0			
chr11	28857630	28858559	25	0	0			
chr11	34621654	34622804	26	0	0			
chr11	34661407	34662308	25	0	0			
chr11	46721822	46722886	26	0	0	ZNF408|ARHGAP1|ZNF408	+|-|+	289|234|-38
chr11	58345244	58347467	38	0	0	LPXN|ZFP91|ZFP91-CNTF	-|+|+	716|231|231
chr11	59317700	59319546	36	0	0			
chr11	61559358	61560703	25	0	0	FEN1|C11orf10|MIR611	+|-|-	119|-55|-3
chr11	61730372	61731827	28	0	0			
chr11	61738651	61739787	25	0	0			
chr11	64863324	64864367	25	0	0	C11orf2	+	-163
chr11	65149287	65150716	29	0	0	SLC25A45|SLC25A45	-|-	-141|-141
chr11	65185833	65187015	26	0	0			
chr11	65189391	65191500	36	0	0	NEAT1	+	-177
chr11	65238786	65240116	26	0	0			
chr11	65479139	65480343	27	0	0	KAT5|KAT5|KAT5	+|+|+	-253|-253|-253
chr11	65769385	65770699	33	0	0	BANF1|BANF1|EIF1AD	+|+|-	-493|-493|464
chr11	67140870	67142774	30	0	0	CLCF1|CLCF1	-|-	174|616
chr11	67780590	67782607	31	0	0			
chr11	68889939	68891381	27	0	0			
chr11	69064008	69065499	27	0	0			
chr11	69467721	69470198	32	0	0			
chr11	71639080	71640405	26	0	0	RNF121|RNF121|RNF121|LOC100133315	+|+|+|-	25|25|25|249
chr11	73498616	73500020	30	0	0	MRPL48	+	-402
chr11	76481514	76482423	25	0	0			
chr11	82867277	82869500	26	0	0	PCF11	+	-252
chr11	9927443	9928485	25	0	0			
chr12	103954202	103955076	26	0	0			
chr12	104350692	104351596	25	0	0	C12orf73	-	151
chr12	104571198	104572195	27	0	0			
chr12	104613012	104614251	34	0	0			
chr12	104679713	104681346	27	0	0	TXNRD1|TXNRD1|TXNRD1|TXNRD1	+|+|+|+	197|197|197|197
chr12	107742498	107744056	26	0	0			
chr12	110545154	110547722	47	0	0			
chr12	110684768	110686046	27	0	0			
chr12	110905767	110907380	38	0	0	GPN3|GPN3|C12orf24|GPN3	-|-|+|-	47|484|-342|484
chr12	113622452	113623722	26	0	0	DDX54|DDX54|C12orf52	-|-|+	-197|-197|467
chr12	121789797	121790687	25	0	0	ANAPC5|ANAPC5	-|-	-1770|-23
chr12	122326041	122327297	26	0	0	HPD|PSMD9	-|+	152|-24
chr12	123011056	123012280	25	0	0	KNTC1|RSRC2|RSRC2|RSRC2|RSRC2	+|-|-|-|-	140|108|108|108|108
chr12	123849095	123850713	27	0	0			
chr12	125312715	125314804	25	0	0			
chr12	125400758	125402605	41	0	0			
chr12	125411612	125413392	40	0	0			
chr12	125423486	125425760	46	0	0			
chr12	13043202	13044799	25	0	0	GPRC5A	+	-45
chr12	14922335	14924389	41	0	0	HIST4H4	-	-703
chr12	4647355	4648317	29	0	0	RAD51AP1|RAD51AP1|C12orf4	+|+|-	113|113|199
chr12	46887528	46888662	25	0	0			
chr12	47472453	47475383	34	0	0	AMIGO2|AMIGO2	-|-	184|184
chr12	47478824	47480249	31	0	0			
chr12	48499519	48500426	25	0	0	PFKM|SENP1	+|-	-317|331
chr12	49454060	49455062	25	0	0			
chr12	49523813	49525690	26	0	0	TUBA1B	-	-553
chr12	52463161	52464077	28	0	0	C12orf44|C12orf44	+|+	138|138
chr12	52636573	52638545	27	0	0			
chr12	52645051	52647438	25	0	0			
chr12	52674069	52675430	31	0	0			
chr12	53297025	53299265	27	0	0	KRT8	-	-723
chr12	53318743	53320648	29	0	0			
chr12	53342389	53344015	26	0	0	KRT18|KRT18	+|+	-360|-548
chr12	53399647	53401288	30	0	0	EIF4B	+	-406
chr12	53845337	53846848	34	0	0	PCBP2|PCBP2|PCBP2|PCBP2|PCBP2|PCBP2|PCBP2	+|+|+|+|+|+|+	-207|-207|-207|-207|-207|-207|-207
chr12	54672942	54675309	38	0	0	HNRNPA1|CBX5|HNRNPA1|HNRPA1L-2	+|-|+|+	362|210|362|407
chr12	56109527	56110272	26	0	0	BLOC1S1	+	-80
chr12	56435174	56436278	26	0	0	RPS26	+	-41
chr12	57504857	57506529	32	0	0	STAT6|STAT6|STAT6|STAT6|STAT6|STAT6	-|-|-|-|-|-	497|1604|497|497|497|497
chr12	58176181	58177003	25	0	0	TSFM|TSFM|TSFM|TSFM	+|+|+|+	-65|-65|-65|-65
chr12	62995918	62997721	32	0	0	C12orf61|MIRLET7I	-|+	-395|646
chr12	6444658	6446804	32	0	0			
chr12	6602116	6603519	25	0	0	NCAPD2|MRPL51	+|-	480|346
chr12	6641452	6644968	48	0	0	GAPDH	+	446
chr12	6645175	6648749	33	0	0			
chr12	679542	682120	31	0	0			
chr12	6797893	6799210	32	0	0	ZNF384|ZNF384|ZNF384|ZNF384|ZNF384|ZNF384|ZNF384	-|-|-|-|-|-|-	726|-118|24|-118|-118|-125|24
chr12	7052164	7054221	30	0	0	C12orf57	+	10
chr12	7079528	7080599	27	0	0	PHB2|EMG1|PHB2	-|+|-	147|-120|172
chr12	741157	742095	25	0	0			
chr12	76337853	76338867	27	0	0			
chr12	76371593	76372463	30	0	0			
chr12	76424868	76426786	25	0	0	PHLDA1	-	271
chr12	82751921	82752843	27	0	0	CCDC59|C12orf26|CCDC59	-|+|-	183|-107|-202
chr12	860105	862062	30	0	0	WNK1|WNK1|WNK1|WNK1	+|+|+|+	1005|1005|1005|1005
chr12	89745437	89747010	25	0	0	DUSP6|DUSP6	-|-	-73|-73
chr12	92463697	92465301	25	0	0			
chr12	96199498	96200523	30	0	0			
chr12	96428814	96430094	25	0	0	LTA4H	-	89
chr12	98896831	98898361	35	0	0			
chr13	114103148	114104151	26	0	0	ADPRHL1	-	192
chr14	101941963	101943978	28	0	0			
chr14	102414093	102415138	25	0	0			
chr14	21081284	21082600	27	0	0			
chr14	21149529	21151795	32	0	0	ANG|RNASE4	+|+	1673|1709
chr14	24582823	24584817	25	0	0	DCAF11|DCAF11|DCAF11|DCAF11|DCAF11	+|+|+|+|+	85|165|673|165|671
chr14	35872771	35874421	30	0	0	NFKBIA	-	-364
