chr14	21560687	21560965
chr14	106873451	106873882
chr10	76995721	76995989
chr6	53036698	53036974
chr14	50328810	50329057
chr17	39818971	39819246
chr1	114889178	114889442
chr15	56538282	56538516
chr12	57632906	57633156
chr12	58299188	58299432
chr12	54773488	54773730
chr17	79075562	79075836
chr9	130879948	130880198
chr15	40566952	40567187
chr1	154990049	154990278
chr17	78549180	78549419
chr16	4304054	4304312
chr17	36823844	36824081
chr12	45342589	45342815
chr7	150869684	150869967
chr1	17036345	17036559
chr2	95540018	95540249
chr17	37778244	37778475
chr1	150952007	150952246
chr11	129234096	129234331
chr2	30934526	30934771
chr15	77925859	77926124
chr16	57683007	57683241
chr3	50653434	50653643
chr17	74519244	74519470
chr20	56784964	56785195
chr9	135897807	135898039
chr3	195577808	195578038
chr2	178029375	178029583
chr11	72145189	72145481
chr19	50184022	50184239
chr2	28789675	28789924
chr14	107238850	107239182
chr19	56165053	56165281
chr5	110493892	110494106
chr14	104544354	104544595
chr1	32429770	32429987
chr14	106765088	106765596
chr7	1032792	1033060
chr12	122232151	122232399
chr1	45251840	45252052
chr12	111325898	111326117
chr5	139348428	139348660
chr19	41140467	41140698
chr16	67850507	67850755
chr22	20918654	20918904
chr17	25708057	25708300
chr11	60897297	60897541
chr17	42852219	42852433
chr20	32900539	32900788
chr15	45410355	45410608
chr8	22431916	22432203
chr5	43105855	43106095
chr17	17259441	17259663
chr14	105116736	105116960
chr6	41336670	41336923
chr7	75807502	75807715
chr22	37252452	37252680
chr11	65990222	65990439
chr10	6130680	6130959
chr11	61666638	61666869
chr9	100161505	100161729
chr13	40516996	40517208
chr3	64009135	64009348
chr19	35986330	35986549
chr7	2749418	2749630
chr16	50058817	50059055
chr7	38375290	38375519
chr12	5112268	5112485
chr19	46386676	46386906
chr6	73121974	73122206
chr16	19897667	19897881
chr10	112431879	112432113
chr17	27053918	27054128
chr19	51925251	51925455
chr20	30200694	30200970
chr10	35852295	35852516
chr7	75943621	75943888
chr22	39925295	39925511
chrX	64748682	64748896
chr6	41286665	41286879
chr1	9687079	9687330
chr2	47214234	47214441
chr17	43275241	43275469
chr11	74959764	74960002
chr11	119978999	119979195
chr2	91815099	91815316
chr17	45307181	45307394
chr3	46530241	46530478
chr17	36579987	36580192
chr17	55320541	55320768
chr12	54069891	54070109
chr7	43622325	43622558
chr12	54140467	54140704
chr16	56998533	56998762
chr9	135134632	135134847
chr17	43212706	43212930
chr10	118976185	118976411
chr22	43263806	43264022
chr6	36727016	36727234
chr15	101548674	101548879
chr14	107147623	107148307
chrX	153218880	153219098
chr19	42612730	42612958
chr19	11404515	11404724
chr9	140130978	140131257
chr20	37063981	37064192
chr19	3706146	3706365
chr19	44289548	44289762
chr17	9632440	9632649
chr9	137035928	137036145
chr19	34268968	34269205
chr9	95922305	95922518
chr11	57224864	57225083
chr21	45358999	45359249
chr17	76247029	76247300
chr9	33722174	33722386
chr17	32527037	32527251
chr1	212185375	212185586
chr19	510680	510943
chr19	48201454	48201661
chr17	48624315	48624520
chr1	16382663	16382876
chr10	30287348	30287543
chrX	100023788	100024022
chr3	48477487	48477685
chr19	17607128	17607404
chr8	105772000	105772206
chr16	75498670	75498918
chr19	40023484	40023700
chr15	42281784	42281987
chr6	29720911	29721129
chr15	76440327	76440528
chr16	57610360	57610565
chr11	728081	728314
chr12	46465994	46466197
chr13	99097669	99097872
chr11	65652190	65652407
chr1	155220526	155220787
chr22	22292472	22292672
chr17	48860578	48860793
chr11	62554049	62554265
chr13	100089219	100089445
chr1	156629796	156630093
chr7	66022617	66022832
chr1	16951489	16951701
chr3	52481127	52481336
chr22	42353702	42353913
chr19	46146441	46146635
chr6	166689241	166689459
chr10	106051218	106051470
chr16	68554577	68554792
chr1	145059056	145059262
chr16	146985	147187
chr6	70506829	70507021
chr11	192066	192278
chr10	88699219	88699455
chr11	68868929	68869128
chr17	41561011	41561276
chr11	58903460	58903665
chr7	73140141	73140357
chr2	75867733	75867942
chr2	47995126	47995318
chr9	3467670	3467872
chr12	104026420	104026648
chr6	15691583	15691813
chr15	74419958	74420149
chr13	53542331	53542512
chr5	55566438	55566639
chr20	34790828	34791034
chr20	48227694	48227899
chr1	21695061	21695266
chr9	34379422	34379626
chr17	17715601	17715830
chr12	54973559	54973774
chr5	177591270	177591478
chr16	4338466	4338679
chr19	34992497	34992753
chr3	38692774	38692996
chr1	66708441	66708651
chr3	136751348	136751543
chr9	129622561	129622781
chr11	65479291	65479497
chr11	130731918	130732141
chr2	217531432	217531629
chr7	73981169	73981375
chr3	127293897	127294088
chr10	30681518	30681713
chr12	125667772	125667966
chr1	26362517	26362731
chr19	35503939	35504161
chr14	23590056	23590288
chr5	96204665	96204871
chr2	9939882	9940065
chr6	36308813	36309014
chr20	37676783	37676984
chr14	106004266	106004466
chr11	66175958	66176184
chr11	123451346	123451549
chr6	136547449	136547656
chr16	21566243	21566420
chr1	11898794	11899009
chr17	30646539	30646753
chr11	117296994	117297201
chr19	13991007	13991243
chr11	34195953	34196153
chr7	148762969	148763174
chr17	43505494	43505708
chr1	47902198	47902393
chr17	27077148	27077395
chr2	70875102	70875282
chr19	4558452	4558651
chr1	155034057	155034268
chr6	86192900	86193108
chr14	94952692	94952890
chr11	62673506	62673709
chr1	34098707	34098910
chr16	90148412	90148630
chr19	36184731	36184968
chr12	111834806	111835012
chr16	72866530	72866728
chr17	72740810	72741022
chr22	25453331	25453540
chr14	90865931	90866164
chr17	30580134	30580344
chr19	42800281	42800492
chr12	14783123	14783324
chr11	62791635	62791846
chr12	54608572	54608837
chr3	51976127	51976346
chr17	40474844	40475055
chr15	75092574	75092782
chr14	76853607	76853809
chr2	16790402	16790607
chr2	42890356	42890566
chr2	220507272	220507495
chr4	1124432	1124639
chr1	168115129	168115334
chr4	25314175	25314435
chr3	46671506	46671739
chr12	54793163	54793357
chr5	111496352	111496549
chr22	18312826	18313014
chr10	71267693	71267900
chr1	225662688	225662939
chr17	21183382	21183584
chr22	37473911	37474115
chr17	46048109	46048321
chr14	94359383	94359592
chr19	56015470	56015655
chr11	76838245	76838460
chr22	20144592	20144793
chr1	205561024	205561225
chr15	75242812	75243004
chr12	48357166	48357358
chr2	85647841	85648045
chr17	75052432	75052628
chr20	31377917	31378134
chr1	37953058	37953275
chr11	62310307	62310531
chr3	53230022	53230221
chr2	129494234	129494443
chr16	2473194	2473401
chr11	189656	190336
chr16	30953324	30953535
chr3	185661376	185661579
chr4	38321517	38321708
chr22	19958079	19958281
chr17	80739746	80739935
chr7	100157486	100157687
chr16	85148608	85148802
chr13	48669241	48669448
chr8	141647559	141647768
chr12	110283178	110283385
chr18	42792806	42792999
chr17	1090568	1090768
chr21	27173919	27174156
chr22	46938276	46938484
chr14	105947268	105947461
chr4	3445283	3445483
chr2	46688611	46688799
chr15	39109962	39110153
chr3	134027290	134027492
chr20	48687890	48688102
chr14	91885220	91885437
chr7	76145323	76145515
chr15	64445826	64446029
chr3	15244270	15244469
chr11	16810001	16810200
chr2	99001628	99001827
chr16	67555479	67555672
chr19	19477734	19477935
chr19	42455888	42456083
chr1	27627365	27627564
chr16	48657205	48657415
chr9	127905935	127906150
chr2	223555375	223555583
chr1	90228604	90228807
chr12	69550907	69551115
chr1	28184622	28184827
chr8	142396935	142397148
chr17	41923703	41923907
chr11	63920619	63920827
chr15	51178134	51178330
chr17	26875245	26875472
chr10	71152373	71152573
chr16	77270009	77270237
chr1	112912376	112912583
chr11	64661811	64662008
chr9	129320421	129320623
chr16	11012699	11012896
chr8	124172764	124172954
