# Argument List:
# Name = wgEncodeHaibTfbsK562Atf3V0416101PkRep2
# peak file = ../HaibTfbsK562Atf3V0416101Pk/wgEncodeHaibTfbsK562Atf3V0416101PkRep2.bed.broadPeak
# gene pos to peak = up,down
# distance = 2000 bp
# genome = hg19.refGene
# Output symbol as gene name = False
#chrom	gTSS	gTTS	gene	NA	strand	pName	TSS2pCenter
chr1	100818022	100985832	NM_003672	0	+	peak745	158
chr1	100818022	100965021	NM_033312	0	+	peak745	158
chr1	100818022	100950925	NM_033313	0	+	peak745	158
chr1	10093040	10241296	NM_001105562	0	+	peak71	159
chr1	10093040	10241296	NM_006048	0	+	peak71	159
chr1	1017197	1051736	NM_017891	0	-	peak5	-16
chr1	109234931	109244420	NM_018061	0	+	peak755	35
chr1	109633402	109639553	NM_020141	0	+	peak758	96
chr1	109642814	109643234	NR_003023	0	+	peak759	-4
chr1	109756514	109780803	NM_006513	0	+	peak762|peak763	-76|-1077
chr1	109756514	109760111	NR_034072	0	+	peak762|peak763	-76|-1077
chr1	110527307	110566363	NM_006621	0	+	peak772	-1
chr1	110577240	110597255	NM_033088	0	+	peak775	75
chr1	110881944	110889303	NM_022768	0	+	peak777	618
chr1	110828998	110881793	NR_036595	0	-	peak777	-467
chr1	110943878	110950546	NM_006402	0	-	peak778	-180
chr1	111489812	111506566	NM_001006945	0	-	peak788	-195
chr1	111489812	111506566	NM_018372	0	-	peak788	-195
chr1	112298189	112310198	NM_007204	0	+	peak791	-130
chr1	112264685	112298419	NM_198926	0	-	peak791	-100
chr1	113615830	113667342	NM_014813	0	+	peak800	973
chr1	1138888	1142089	NM_004195	0	-	peak7	1467
chr1	1138888	1142089	NM_148901	0	-	peak7	1467
chr1	1138888	1142089	NM_148902	0	-	peak7	1467
chr1	114304454	114355070	NM_018364	0	-	peak805	31
chr1	114471995	114514693	NM_152696	0	+	peak807	-18
chr1	114471995	114520421	NM_198268	0	+	peak807	-18
chr1	115247078	115259515	NM_002524	0	-	peak812	-34
chr1	117637264	117637350	NR_030640	0	+	peak830	512
chr1	11866206	11903200	NM_001286	0	+	peak92	457
chr1	11845786	11866160	NM_005957	0	-	peak92	-411
chr1	11866206	11888273	NM_021735	0	+	peak92	457
chr1	11866206	11889358	NM_021736	0	+	peak92	457
chr1	11866206	11888273	NM_021737	0	+	peak92	457
chr1	119573840	119683295	NM_015836	0	-	peak840	-131
chr1	119573840	119683295	NM_201263	0	-	peak840	-131
chr1	120161999	120190390	NM_001080470	0	-	peak843	-1727
chr1	120254418	120286848	NM_006623	0	+	peak845	-999
chr1	12040237	12073571	NM_001127660	0	+	peak95	37
chr1	12040237	12073571	NM_014874	0	+	peak95	37
chr1	12185957	12204262	NM_152942	0	+	peak100	946
chr1	12627939	12677820	NM_004753	0	-	peak109	1320
chr1	12806162	12821101	NM_152290	0	+	peak114	762
chr1	1270658	1284492	NM_004421	0	-	peak12	332
chr1	1309109	1310580	NM_001127229	0	-	peak13	149
chr1	1309110	1310562	NM_001127230	0	-	peak13	167
chr1	1309109	1310818	NM_017900	0	-	peak13	-89
chr1	144951760	144997111	NM_001195260	0	-	peak858	673
chr1	145096406	145116922	NM_004892	0	+	peak863	45
chr1	145413190	145417545	NM_145277	0	+	peak869	-601
chr1	145413190	145417545	NM_202004	0	+	peak869	-601
chr1	145413190	145417545	NM_213652	0	+	peak869	-601
chr1	145413190	145417545	NM_213653	0	+	peak869	-601
chr1	147400505	147465747	NM_016334	0	+	peak879	922
chr1	149279475	149291742	NR_027002	0	+	peak896	740
chr1	149813785	149814318	NM_001040874	0	-	peak904	1565
chr1	149813785	149814318	NM_003516	0	-	peak904	1565
